price,lotsize,nbdrm,nbhrm,nstor,ngar,drive,recrm,base,gas,air,neigh
118200,4100,2,2,1,0,1,1,1,0,0,0
118400,3640,3,1,2,0,1,0,0,0,1,0
120200,5680,3,1,2,1,1,1,0,0,1,0
127500,6300,3,1,1,2,1,0,0,0,1,0
119300,4000,3,1,2,1,1,0,0,0,0,0
103800,3960,3,1,2,0,1,0,0,0,0,0
94700,5960,3,1,2,0,1,1,1,0,0,0
98300,5830,2,1,1,2,1,0,0,0,0,0
135700,4500,4,2,1,2,0,0,1,0,1,0
163900,4100,3,2,3,2,1,0,0,0,1,0
82000,6750,2,1,1,0,1,0,0,0,0,0
82000,9000,3,1,2,2,1,0,0,0,0,0
118400,2550,3,1,2,0,1,0,1,0,0,0
100200,7152,3,1,2,0,1,0,0,0,1,0
112900,6450,4,1,2,0,1,0,0,0,0,0
54600,3360,2,1,1,1,1,0,0,0,0,0
61900,3264,2,1,1,0,1,0,0,0,0,0
69200,4000,3,1,1,0,1,0,0,0,0,0
71000,4000,3,1,2,1,1,0,0,0,0,0
82000,3069,2,1,1,1,1,0,0,0,0,0
85600,4040,2,1,1,0,1,0,0,0,0,0
86500,4040,2,1,1,1,1,0,0,0,0,0
89200,3185,2,1,1,2,1,0,0,0,0,0
91100,5900,2,1,1,1,1,0,0,0,0,0
91100,3120,3,1,2,1,1,0,0,0,0,0
96300,5450,2,1,1,0,1,0,0,0,0,0
96500,4040,2,1,1,0,1,0,0,0,0,0
100200,4080,2,1,1,0,1,0,0,0,0,0
102000,8080,3,1,1,2,1,0,0,0,1,0
106500,4040,2,1,2,1,1,0,0,0,0,0
108400,4080,3,1,2,2,1,0,0,0,0,0
109300,5800,3,1,1,2,1,0,0,1,0,0
116600,5885,2,1,1,1,1,0,0,0,1,0
122000,9667,4,2,2,1,1,1,1,0,0,0
124000,3420,4,2,2,0,1,0,0,0,0,0
127500,5800,2,1,1,0,1,1,1,0,1,0
131100,7600,4,1,2,2,1,0,0,0,1,0
104700,5400,3,1,1,3,1,0,0,0,0,0
127300,4995,4,2,1,0,1,0,1,0,0,0
127500,3000,3,1,2,0,1,0,1,0,1,0
136600,5500,3,2,1,0,1,0,1,0,0,0
140100,6450,3,2,1,0,1,1,1,1,0,0
142100,6210,4,1,4,0,1,1,0,0,1,0
145700,5000,3,1,4,0,1,0,0,0,0,0
149300,5000,3,1,3,0,1,0,0,0,1,0
151200,5828,4,1,4,0,1,1,0,0,0,0
151200,5200,3,1,3,0,1,0,0,0,1,0
152800,5500,3,1,3,1,1,1,0,0,1,0
161200,6350,3,2,3,0,1,1,0,0,1,0
169400,8250,3,2,3,0,1,0,0,0,1,0
178500,6000,3,1,1,1,1,0,0,0,1,0
179400,7700,3,2,1,2,1,0,0,0,0,0
180300,8880,3,2,2,1,1,0,1,0,1,0
184000,8880,2,1,1,1,1,0,0,0,1,0
200300,6480,3,2,4,2,1,0,0,0,1,0
210300,7000,3,2,4,2,1,0,0,0,1,0
218600,8875,3,1,1,1,1,0,0,0,0,0
225800,7155,3,2,1,2,1,1,1,0,1,0
318700,8960,4,4,4,3,1,0,0,0,1,0
91100,7350,2,1,1,1,1,0,0,0,0,0
100200,3850,2,1,1,0,1,0,0,0,0,0
109300,7000,3,1,1,3,1,0,0,0,0,0
111100,7770,2,1,1,1,1,0,0,0,0,0
193100,7440,3,2,1,0,1,1,1,0,1,1
282300,7500,3,3,1,2,1,0,1,0,1,1
256800,8100,4,1,2,2,1,1,1,0,1,1
113800,3900,3,1,2,0,1,0,0,0,0,0
127500,2970,3,1,3,0,1,0,0,0,0,0
133000,3000,3,1,2,0,1,0,1,0,0,0
145700,10500,2,1,1,1,1,0,0,0,0,0
145700,5500,3,2,2,1,1,0,0,0,0,0
160300,4500,3,1,4,0,1,0,0,0,1,0
89200,3850,3,1,1,0,1,0,0,0,0,0
94700,4130,3,2,2,2,1,0,0,0,0,0
108400,4046,3,1,2,1,1,0,1,0,0,0
109300,4079,3,1,3,0,1,0,0,0,0,0
116600,4000,3,1,2,2,1,0,0,0,0,0
117500,9860,3,1,1,0,1,0,0,0,0,0
124800,7000,3,1,2,0,1,0,1,0,0,0
143000,7980,3,1,1,2,1,0,0,0,0,0
156600,6800,2,1,1,2,1,1,1,0,0,0
158300,4300,6,2,2,0,1,0,0,0,0,0
136600,10269,3,1,1,1,1,0,0,0,0,1
142100,6100,3,1,3,0,1,1,0,0,1,1
173000,6420,3,2,3,0,1,0,0,0,1,1
176700,12090,4,2,2,2,1,0,0,0,0,1
194900,6600,3,1,4,3,1,0,0,0,1,1
236800,6600,4,2,2,1,1,1,1,0,1,1
264100,8580,4,3,4,2,1,0,0,0,1,1
318700,9960,3,2,2,2,1,0,1,0,0,1
131100,10700,3,1,2,0,1,1,1,0,0,0
154600,15600,3,1,1,2,1,0,0,0,1,0
180300,13200,2,1,1,1,1,0,1,1,0,0
207600,9000,4,2,4,2,1,0,0,0,1,0
218600,7950,5,2,2,2,1,0,1,1,0,0
264100,16200,5,3,2,0,1,0,0,0,0,0
143900,6100,3,2,1,2,1,0,1,0,0,1
149300,6360,3,1,1,2,1,1,1,0,1,1
154800,6420,3,1,1,0,1,0,1,0,1,1
183000,6360,4,2,3,2,1,0,0,0,1,1
222200,6540,4,2,2,2,1,1,1,0,1,1
230400,6420,3,2,2,1,1,0,0,0,1,1
242200,6550,4,2,2,1,1,0,0,0,1,1
255000,5750,3,2,4,1,1,1,0,0,1,1
346000,7420,4,2,3,2,1,0,0,0,1,1
153000,7160,3,1,1,2,1,0,1,0,0,1
176700,4000,3,2,2,0,1,0,1,0,1,1
188500,9000,4,2,4,1,1,1,0,0,1,1
204900,6550,3,1,2,0,1,0,1,0,1,1
255000,13200,3,1,2,2,1,0,1,0,1,1
136100,7085,3,1,1,2,1,1,1,0,0,1
142100,6600,4,2,2,0,1,1,1,0,0,1
143700,6900,3,1,1,0,1,1,1,0,0,1
152800,11460,3,1,3,2,1,0,0,0,0,1
154800,7020,3,1,1,2,1,0,1,0,1,1
154800,6540,3,1,1,2,1,1,1,0,0,1
156600,8000,3,1,1,2,1,1,1,0,1,1
158300,9620,3,1,1,2,1,0,1,0,0,1
172100,10500,3,2,1,1,1,0,1,0,1,1
174800,5020,3,1,4,0,1,0,0,0,1,1
193100,7440,3,2,4,1,1,0,0,0,0,1
131100,6600,3,1,1,0,1,1,1,0,0,1
135700,7200,3,1,2,1,1,1,1,0,0,1
140200,6710,3,2,2,1,1,1,1,0,0,1
147100,6660,4,2,2,1,1,1,1,0,0,1
151000,7000,3,1,1,2,1,0,1,0,0,1
154800,7231,3,1,2,0,1,1,1,0,1,1
168500,7410,3,1,1,2,1,1,1,0,1,1
138400,7800,3,1,1,2,1,0,1,0,1,1
141100,6825,3,1,1,0,1,1,1,0,1,1
145700,6360,3,1,3,0,1,0,0,0,0,1
145700,6600,4,2,1,0,1,0,1,0,0,1
156600,6900,3,2,1,0,1,1,1,0,0,1
158500,6600,3,1,1,2,1,1,1,0,0,1
159400,6420,3,1,3,0,1,0,1,0,0,1
162100,6600,3,2,1,0,1,0,1,0,1,1
163700,6600,3,2,3,0,1,0,0,0,1,1
163900,9000,3,1,1,1,1,0,1,0,0,1
173000,6500,3,2,3,0,1,0,0,0,1,1
204000,6360,3,2,4,0,1,0,0,0,1,1
58100,5300,3,1,1,0,0,0,0,0,1,1
94700,2850,3,2,2,0,0,0,1,0,0,1
163900,6400,3,1,1,1,1,1,1,0,1,1
182100,11175,3,1,1,1,1,0,1,0,1,1
167000,6750,2,1,1,2,1,1,1,0,0,1
317800,7500,4,2,2,3,1,0,1,0,1,1
172500,6000,3,1,2,1,1,0,0,1,0,1
123800,10240,2,1,1,2,1,0,0,0,1,1
145700,5136,3,1,2,0,1,1,1,0,1,1
111300,3400,3,1,2,2,1,0,1,0,0,1
114600,2880,3,1,2,0,1,0,0,0,0,1
119300,3840,3,1,2,1,1,0,0,0,0,1
120200,2870,2,1,2,0,1,1,1,0,0,1
90200,5320,2,1,1,1,1,0,0,0,0,1
91100,3512,2,1,1,1,1,0,0,0,0,1
97400,3480,2,1,1,0,1,0,0,0,0,1
106600,3600,3,1,1,0,1,0,1,0,1,1
117500,3520,2,1,2,0,1,0,0,0,0,1
118400,5320,3,1,2,0,1,1,1,0,0,1
125700,6040,3,1,1,2,1,0,0,0,0,1
133000,11410,2,1,2,0,1,0,0,0,0,1
136600,8400,3,1,2,2,1,1,1,0,1,1
136600,5300,4,2,1,0,1,0,0,0,1,1
240400,7800,3,2,2,0,1,0,0,0,0,1
109300,3520,3,1,2,0,1,0,0,0,0,1
118400,5360,3,1,2,2,1,0,0,0,0,1
125700,6862,3,1,2,2,1,0,0,0,1,1
94500,3520,3,1,1,2,1,0,0,0,0,1
103800,4050,2,1,2,0,1,1,1,0,0,1
118400,3520,3,1,1,0,1,0,0,0,0,1
144800,4400,4,1,2,2,1,0,0,0,1,1
132000,5720,2,1,2,0,1,0,0,0,1,1
191100,11440,4,1,2,1,1,0,1,0,0,1
209300,7482,3,2,3,1,1,0,0,1,0,1
218600,5500,4,2,2,1,1,0,1,0,1,1
105600,4320,3,1,2,2,1,0,0,0,0,1
122000,5400,2,1,2,0,1,0,0,0,0,1
122000,4320,3,1,1,0,1,0,0,0,0,1
125700,4815,2,1,1,0,1,0,0,0,1,1
133000,6100,3,1,1,0,1,0,1,0,1,1
133900,7980,3,1,1,1,1,0,0,0,0,1
136400,6050,3,1,1,0,1,0,1,0,0,1
136600,3800,3,1,2,1,1,1,1,0,0,1
144800,5400,5,1,2,0,1,1,1,0,1,1
220200,6000,3,2,4,0,1,1,1,0,1,1
81100,2398,3,1,1,0,1,0,0,0,0,1
85600,2145,3,1,2,0,1,0,1,0,0,1
86700,2145,3,1,2,0,1,0,1,0,0,1
89200,2145,3,1,3,0,1,0,0,0,0,1
89200,2610,3,1,2,0,1,0,1,0,0,1
89200,1950,3,2,2,0,1,0,1,0,0,1
90200,2145,3,1,3,0,1,0,0,0,0,1
94700,2275,3,1,3,0,1,0,0,1,1,1
98300,2856,3,1,3,0,1,0,0,0,0,1
100200,2015,3,1,2,0,1,0,1,0,0,1
100200,2176,2,1,2,0,1,1,0,0,0,1
102000,2145,4,2,1,0,1,0,1,0,0,1
109300,2145,3,1,3,1,1,0,0,0,0,1
110200,2787,3,1,1,0,1,0,1,0,0,1
91100,9500,3,1,2,3,1,0,0,0,0,1
118200,4990,4,2,2,0,1,1,1,0,0,1
169400,6670,3,1,3,0,1,0,1,0,0,1
154800,6254,4,2,1,1,1,0,1,0,0,1
112000,10360,2,1,1,1,1,0,0,0,0,1
161200,5500,3,2,1,2,1,1,1,0,0,1
160300,5450,4,2,1,0,1,0,1,0,1,1
162100,5500,3,1,3,1,1,0,0,0,0,1
163000,6000,4,1,3,0,1,1,1,0,0,1
173000,5700,3,1,1,2,1,1,1,0,1,1
173900,6600,2,2,4,0,1,0,1,0,0,1
93800,4000,2,1,1,0,1,0,0,0,0,1
114600,4880,3,1,1,2,1,0,0,0,0,1
215800,4880,4,2,2,1,1,0,0,0,1,1
78100,8050,2,1,1,0,1,0,0,0,0,0
80300,8100,2,1,1,1,1,0,0,0,0,0
85600,5880,3,1,1,1,1,0,0,0,0,0
91100,5880,2,1,1,0,1,0,0,0,0,0
91100,12944,3,1,1,0,1,0,0,0,0,0
96500,6020,3,1,1,0,1,0,0,0,0,0
96500,4050,2,1,1,0,1,0,0,0,0,0
98300,8400,2,1,1,1,1,0,0,0,0,0
106500,5600,2,1,1,0,1,0,0,0,1,0
107500,5985,3,1,1,0,1,0,1,0,0,0
109300,4500,3,1,1,0,1,0,1,0,0,0
114600,4920,3,1,2,1,1,0,0,0,0,0
116600,8250,3,1,1,0,1,0,0,0,0,0
118400,8400,4,1,4,3,1,0,0,0,0,0
123700,6440,2,1,1,3,1,0,0,0,1,0
124800,8100,4,1,4,2,1,0,1,0,1,0
127500,6720,3,1,1,0,1,0,0,0,0,0
128400,5948,3,1,2,0,1,0,0,0,1,0
130200,8150,3,2,1,0,1,1,1,0,0,0
131000,4800,2,1,1,0,1,1,1,0,0,0
136600,9800,4,2,2,2,1,1,0,0,0,0
136600,8520,3,1,1,2,1,0,0,0,1,0
158500,8372,3,1,3,2,1,0,0,0,1,0
116600,4040,3,1,2,1,1,0,0,0,0,0
127500,4646,3,1,2,2,1,1,1,0,0,0
86500,4775,4,1,2,0,1,0,0,0,0,0
114000,4950,4,1,2,0,1,0,0,0,1,0
120200,5010,3,1,2,0,1,0,1,0,0,0
107300,6060,2,1,1,1,1,0,1,0,0,0
96500,3584,2,1,1,0,1,0,0,1,0,0
173000,6000,3,2,3,0,1,1,0,0,1,0
175800,6000,4,2,4,0,1,0,0,0,1,0
184000,6240,4,2,2,1,1,0,0,0,1,0
185800,6000,3,2,2,1,1,1,0,0,0,0
187600,7680,4,2,4,1,1,1,0,0,1,0
191200,6000,4,2,4,1,1,1,0,0,1,0
196700,6000,4,2,4,1,1,0,0,0,1,0
200300,6000,4,2,4,2,1,0,0,0,0,0
205800,6000,4,2,4,1,1,0,0,0,1,0
218600,7475,3,2,4,2,1,0,0,0,1,0
191200,5150,3,2,4,2,1,0,0,0,1,0
193100,6325,3,1,4,1,1,0,0,0,1,0
195800,6000,3,2,4,1,1,0,0,0,1,0
196700,6000,3,2,3,0,1,0,0,0,1,0
207200,6000,3,1,4,2,1,1,0,0,1,0
218600,7000,3,1,4,2,1,0,0,0,1,0
127500,12900,3,1,1,2,1,0,0,0,0,0
129300,7686,3,1,1,0,1,1,1,1,0,0
149300,5000,3,1,3,0,1,0,0,0,1,0
149300,5800,3,2,4,0,1,0,0,0,1,0
150300,6000,3,2,4,0,1,0,0,0,1,0
151200,4800,3,1,3,0,1,0,0,0,1,0
153000,6500,3,2,3,0,1,0,0,0,1,0
154800,7320,4,2,2,0,1,0,0,0,0,0
154800,6525,3,2,4,1,1,0,0,0,0,0
166600,4800,3,2,4,0,1,1,0,0,1,0
171200,6000,3,2,4,0,1,0,0,0,1,0
187600,6000,3,2,4,1,1,1,0,0,1,0
191200,6000,3,2,2,1,1,1,0,0,1,0
191200,6000,3,1,2,1,1,0,0,0,1,0
